NPA,employment_2023,grad_2023,home_price_2023,home_price_2021,job_density_2022,homicide_count
381,97.9,71.4,790906.0,520641.0,2,1.0
382,93.4,62.5,578380.0,430659.0,1,6.0
383,91.7,80.0,428127.0,308094.0,1,3.0
385,90.4,84.9,208064.0,120514.0,1,22.0
386,88.5,83.3,650696.0,436032.0,2,5.0
387,87.1,82.1,268085.0,136617.0,4,8.0
389,97.7,84.1,377636.0,247359.0,1,8.0
390,93.2,85.7,443914.0,336643.0,2,1.0
391,99.0,100.0,550215.0,405398.0,1,0.0
392,98.1,98.3,1269903.0,978832.0,4,0.0
393,97.5,95.0,482354.0,358430.0,6,0.0
394,93.3,87.5,465254.0,350064.0,1,2.0
395,100.0,100.0,412814.0,306260.0,3,0.0
396,99.3,92.3,406980.0,310623.0,0,2.0
397,100.0,68.8,444525.0,250045.0,10,0.0
398,90.9,100.0,586500.0,307518.0,1,0.0
399,96.9,91.7,572779.0,434867.0,6,0.0
400,99.4,100.0,397791.0,434550.0,0,0.0
401,97.5,89.7,385131.0,266946.0,1,0.0
402,95.5,100.0,384934.0,311144.0,0,0.0
403,94.5,100.0,691217.0,350306.0,1,0.0
404,88.8,84.2,352119.0,195570.0,1,0.0
405,94.7,98.0,403220.0,269641.0,1,0.0
406,97.0,100.0,506645.0,368165.0,0,0.0
407,96.9,77.8,410439.0,286710.0,1,0.0
408,86.2,100.0,438198.0,314338.0,1,0.0
409,96.0,100.0,1560137.0,1157274.0,1,0.0
410,98.3,100.0,541263.0,353193.0,3,0.0
411,89.4,95.8,341462.0,243072.0,4,0.0
412,100.0,100.0,699720.0,574806.0,0,0.0
413,97.0,100.0,582691.0,408335.0,1,0.0
416,98.4,90.0,314000.0,239268.0,9,0.0
417,95.7,82.4,498836.0,335996.0,1,0.0
418,97.4,78.9,603709.0,450259.0,2,0.0
419,98.9,100.0,543045.0,407095.0,0,0.0
420,97.4,86.7,493006.0,367615.0,1,0.0
421,95.3,100.0,482506.0,357754.0,0,0.0
422,96.9,84.2,348000.0,274444.0,2,0.0
423,97.7,100.0,526538.0,421417.0,0,0.0
424,96.1,100.0,757313.0,730394.0,1,0.0
425,100.0,100.0,703959.0,454730.0,0,0.0
426,97.1,96.2,440667.0,293762.0,2,0.0
428,97.9,91.7,448795.0,285317.0,1,0.0
430,94.2,87.5,376858.0,273789.0,0,0.0
431,97.5,96.0,386081.0,265970.0,0,0.0
432,97.5,95.8,440328.0,314642.0,0,0.0
433,95.3,100.0,494065.0,384898.0,0,0.0
434,98.6,95.2,595385.0,475196.0,1,0.0
435,100.0,100.0,423438.0,344175.0,0,0.0
436,94.6,94.1,354826.0,258757.0,0,0.0
437,96.8,96.7,495049.0,342186.0,1,0.0
438,98.3,100.0,587604.0,350023.0,0,0.0
442,98.1,100.0,326283.0,208476.0,1,0.0
443,93.3,87.5,468351.0,356875.0,0,0.0
444,96.5,90.0,359932.0,264996.0,0,0.0
445,98.4,90.9,410342.0,292377.0,0,0.0
447,97.6,93.1,415967.0,321579.0,0,0.0
448,98.6,100.0,433409.0,324893.0,4,0.0
